product_id,total_sales,total_revenue,avg_price
aca2eb7d00ea1a7b8ebd4e68314663af,527,37608.9,71.36
99a4788cb24856965c36a24e339b6058,488,43025.56,88.17
422879e10f46682990de24d770e7f83d,484,26577.22,54.91
389d119b48cf3043d311335e499d9c6b,392,21440.59,54.7
368c6c730842d78016ad823897a372db,388,21056.8,54.27
53759a2ecddad2bb87a079a1f1519f73,373,20387.2,54.66
d1c427060a0f73f6b889a5c7c61f2ac4,343,47214.51,137.65
53b36df67ebb7c41585e8d54d6772e08,323,37683.42,116.67
154e7e31ebfa092203795c972e5804a6,281,6325.19,22.51
3dd2a17168ec895c781a9191c1e95ad7,274,41082.6,149.94
